code,subject,number,title,credits_min,credits_max,level,school,section_count
POLS-Y 317,POLS,317,VOTING/ELECTNS/PUBLIC OPINION,3.0,3.0,300,Political Science (POLS),1
POLS-Y 319,POLS,319,THE UNITED STATES CONGRESS,3.0,3.0,300,Political Science (POLS),1
POLS-Y 329,POLS,329,RACIAL & ETHNIC POLITICS USA,3.0,3.0,300,Political Science (POLS),1
POLS-Y 344,POLS,344,CIVIL WARS,3.0,3.0,300,Political Science (POLS),1
POLS-Y 346,POLS,346,POLITICS IN DEVELOPING WORLD,3.0,3.0,300,Political Science (POLS),1
POLS-Y 361,POLS,361,CONTEM THEOR OF INTL POLITICS,3.0,3.0,300,Political Science (POLS),1
POLS-Y 363,POLS,363,COMPARATIVE FOREIGN POLICY,3.0,3.0,300,Political Science (POLS),1
POLS-Y 368,POLS,368,RUSSIAN & SOVIET FOREIGN POL,3.0,3.0,300,Political Science (POLS),1
POLS-Y 379,POLS,379,ETHICS AND PUBLIC POLICY,3.0,3.0,300,Political Science (POLS),1
POLS-Y 381,POLS,381,CLASSICAL POLITICAL THOUGHT,3.0,3.0,300,Political Science (POLS),1
POLS-Y 383,POLS,383,FDNS AMERICAN POLITICL THOUGHT,3.0,3.0,300,Political Science (POLS),1
POLS-Y 395,POLS,395,QUANTITATIVE POLIT ANALYSIS,3.0,3.0,300,Political Science (POLS),1
POLS-Y 490,POLS,490,SENIOR SEM IN POLIT SCIENCE,3.0,3.0,400,Political Science (POLS),3
POLS-Y 499,POLS,499,HONORS THESIS,3.0,3.0,400,Political Science (POLS),1
POLS-Y 570,POLS,570,INTRO TO STUDY OF POLITICS,3.0,3.0,500,Political Science (POLS),1
POLS-Y 575,POLS,575,POLITICAL DATA ANALYSIS I,3.0,3.0,500,Political Science (POLS),1
