class_number,course_code,component,status,topic,capacity,available,waitlist,delivery_mode,instructors,days,start,end,building,room
3319,BUS-BE 304,LEC,OPEN,,50,3,0,IN_PERSON,Martel J; Fairchild A; Niewoehner R; Fossen B; Landis R,MOWE,08:20,09:35,HH,4000
33278,GNDR-G 470,LEC,OPEN,,17,6,0,IN_PERSON,Foster L,MOWE,15:55,17:10,LH,328
33279,SPEA-M 772,LEC,OPEN,,13,6,0,IN_PERSON,Fernandez S,MOWE,14:20,15:35,PV,A203
33280,GNDR-G 701,LEC,OPEN,"GENDR, RACE, SEXUALITY & LAW",7,2,0,IN_PERSON,Foster L,MOWE,15:55,17:10,LH,328
3330,BUS-M 344,LEC,CLOSED,,32,0,0,IN_PERSON,Riley Simone J,TUTH,09:35,10:50,CG,3044
33307,INTL-I 306,LEC,OPEN,EUROPE BETWEEN HITLER & STALIN,30,24,0,IN_PERSON,Borhi L,MOWE,17:30,18:45,BH,342
3331,ANTH-P 200,DIS,OPEN,,22,6,0,IN_PERSON,Arakawa F,WE,12:45,13:35,SB,050
33310,CJUS-P 425,LEC,CLOSED,,30,0,5,IN_PERSON,Northcutt Bohmert M,TUTH,14:20,15:35,BH,343
33311,THTR-T 359,LEC,OPEN,,15,11,0,IN_PERSON,Lucas R,MOWE,13:00,15:00,TH,A103
33312,THTR-T 359,LEC,OPEN,,15,14,0,IN_PERSON,Lucas R,MOWE,15:00,17:00,TH,A103
33313,THTR-T 359,LEC,OPEN,,15,14,0,IN_PERSON,Lucas R,TUTH,13:00,15:00,TH,A103
33314,THTR-T 359,LEC,OPEN,,15,14,0,IN_PERSON,Lucas R,TUTH,15:00,17:00,TH,A103
33315,THTR-T 359,LEC,OPEN,,15,10,0,IN_PERSON,Lucas R,FR,13:00,17:00,TH,A103
33316,SPAN-T 530,LEC,OPEN,,15,3,0,ONLINE,Johnson R,,,,OL,ONLINE
3332,BIOL-L 112,DIS,CLOSED,,30,0,6,IN_PERSON,Matlack D,TU,16:20,17:10,JH,001
33322,REEI-R 300,LEC,OPEN,EUR BETWEEN HITLER & STALIN,30,24,0,IN_PERSON,Borhi L,MOWE,17:30,18:45,BH,342
33323,REEI-R 500,LEC,OPEN,EUR BETWEEN HITLER & STALIN,30,24,0,IN_PERSON,Borhi L,MOWE,17:30,18:45,BH,342
33324,REEI-R 301,LEC,CLOSED,HISTORIES OF THE COLD WAR,1,0,0,IN_PERSON,Saburova T,MOWE,14:20,15:35,BH,203
